year,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,exam1,exam2,texam,finalscore,presence,finalgrade,class
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.70,0.00,10.00,10.00,9.00,6.83,MS,C
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,10.00,6.30,7.50,4.00,10.00,7.73,MS,C
2017,10.00,10.00,8.71,0.00,10.00,10.00,10.00,,6.70,0.00,0.00,0.00,10.00,3.91,MI,C
2017,10.00,10.00,10.00,8.57,10.00,10.00,8.70,,6.40,10.00,10.00,10.00,3.00,7.92,MS,C
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,0.00,0.00,10.00,10.00,9.00,6.14,MM,C
2017,4.29,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.06,SR,C
2017,4.29,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.00,7.50,0.00,4.00,4.67,MM,C
2017,10.00,10.00,10.00,10.00,10.00,10.00,8.00,,9.70,0.00,0.00,0.00,1.00,2.18,II,C
2017,8.57,9.14,8.57,7.57,10.00,9.86,8.00,3.00,10.00,0.00,5.50,0.00,0.00,2.58,MI,C
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,3.00,10.00,0.00,0.00,7.00,10.00,5.43,MM,C
2017,10.00,10.00,10.00,10.00,2.86,10.00,10.00,,6.70,10.00,10.00,0.00,10.00,7.97,MS,C
2017,10.00,10.00,10.00,10.00,10.00,10.00,7.00,3.00,0.00,0.00,0.00,0.00,10.00,3.28,MI,C
2017,10.00,6.14,8.57,10.00,10.00,10.00,9.30,3.00,10.00,2.50,2.00,10.00,3.00,5.09,MM,C
2017,10.00,10.00,10.00,10.00,0.00,0.00,1.00,5.00,6.70,0.00,0.50,0.00,0.00,1.32,II,C
2017,10.00,10.00,10.00,10.00,10.00,10.00,9.00,5.00,10.00,10.00,6.00,0.00,10.00,7.77,MS,C
2017,0.00,0.00,0.00,1.43,0.00,2.86,0.00,,9.80,0.00,0.00,0.00,0.00,1.04,II,C
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,9.60,0.00,1.00,0.00,9.00,4.20,MI,C
2017,7.14,10.00,7.14,10.00,10.00,9.86,0.00,,2.10,0.00,0.50,0.00,5.00,2.25,II,C
2017,10.00,7.14,8.43,10.00,1.43,1.43,0.00,,3.10,2.00,0.00,0.00,0.00,1.38,II,C
2017,10.00,10.00,8.43,10.00,10.00,10.00,9.00,,6.70,0.00,3.50,0.00,5.00,3.32,MI,C
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,9.70,10.00,10.00,10.00,10.00,9.97,SS,C
2017,10.00,10.00,10.00,5.14,7.14,10.00,8.00,,6.60,0.00,7.50,2.00,0.00,2.89,MI,C
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR,C
2017,10.00,10.00,6.00,10.00,2.86,7.14,6.00,,9.80,0.00,10.00,0.00,10.00,5.52,MM,C
2014,10.00,9.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.27,SR-30,D
2016,10.00,10.00,5.71,2.43,2.71,8.29,0.00,,10.00,10.00,10.00,9.00,2.00,7.48,MS,D
2016,8.57,10.00,5.71,0.00,0.00,0.00,0.00,,6.00,0.00,0.00,0.00,0.00,0.95,II-15,D
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,D
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,D
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,D
2017,10.00,7.14,10.00,8.57,10.00,10.00,9.20,,9.70,7.50,3.00,0.00,3.50,5.11,MM,D
2017,1.43,2.71,5.57,8.57,0.00,0.00,0.00,,,0.00,9.50,0.00,0.00,1.59,TR,D
2017,10.00,6.71,2.86,5.71,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.36,TR,D
2017,10.00,10.00,10.00,10.00,10.00,10.00,8.60,,10.00,7.50,7.50,0.00,5.00,6.18,MM,D
2017,10.00,10.00,10.00,8.57,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.55,SR,D
2017,10.00,7.14,3.00,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.31,TR,D
2017,10.00,10.00,10.00,10.00,10.00,10.00,9.10,,9.80,10.00,10.00,7.00,10.00,9.49,SS,D
2017,10.00,10.00,10.00,10.00,10.00,10.00,9.20,,9.80,10.00,10.00,10.00,7.00,9.25,SS,D
2017,10.00,10.00,7.14,1.43,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.41,SR-30,D
2017,10.00,10.00,10.00,10.00,10.00,10.00,9.20,,9.60,10.00,9.50,0.00,6.00,7.32,MS,D
2017,10.00,10.00,10.00,10.00,10.00,1.14,8.00,,9.70,0.00,10.00,9.00,4.00,5.61,MM,D
2017,8.57,2.71,2.57,9.86,1.43,2.57,0.00,,9.50,0.00,10.00,3.50,0.00,3.31,MI,D
2017,10.00,8.57,0.00,3.71,2.86,4.00,1.00,,2.60,0.00,9.00,0.00,0.00,1.95,II-5,D
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,D
2017,10.00,10.00,10.00,10.00,10.00,10.00,9.20,,10.00,10.00,10.00,10.00,0.00,7.59,MS,D
2017,10.00,10.00,10.00,10.00,10.00,10.00,7.90,,6.70,0.00,4.50,10.00,0.00,3.87,MI-5,D
2017,10.00,5.00,2.86,1.43,0.00,10.00,0.00,,6.40,0.00,0.00,0.00,0.00,1.06,II-0,D
2017,2.86,2.00,2.71,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.11,TR,D
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,SR-30,D
2017,8.57,7.14,5.71,5.86,0.00,4.00,0.00,,9.70,10.00,10.00,0.00,0.00,5.42,MM,D
2017,10.00,10.00,10.00,10.00,10.00,10.00,3.00,,10.00,4.50,10.00,9.00,3.00,6.63,MS,D
2014,8.57,9.43,3.86,8.57,0.00,6.29,0.00,,6.30,10.00,10.00,10.00,2.00,7.23,MS,E
2014,10.00,8.57,10.00,10.00,9.57,9.43,2.70,,9.70,10.00,10.00,10.00,9.00,9.59,SS,E
2016,10.00,10.00,5.71,1.43,2.43,0.00,0.00,,8.70,0.00,1.00,9.00,0.00,2.87,SR-30,E
2016,10.00,10.00,10.00,8.57,5.43,8.29,7.00,,,10.00,10.00,0.00,0.00,4.85,MM,E
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR,E
2016,10.00,8.29,7.14,8.29,8.57,4.00,10.00,,8.60,8.50,10.00,10.00,0.00,6.87,MS,E
2017,10.00,10.00,6.71,8.57,10.00,5.86,10.00,,9.70,10.00,10.00,10.00,8.00,9.36,SS,E
2017,10.00,10.00,10.00,10.00,10.00,10.00,9.10,,10.00,8.50,9.50,10.00,9.00,9.29,SS,E
2017,10.00,10.00,10.00,10.00,7.14,10.00,2.00,,9.80,10.00,10.00,9.00,1.00,7.50,MS,E
2017,10.00,10.00,10.00,10.00,10.00,10.00,9.20,5.00,9.50,10.00,10.00,10.00,10.00,9.88,SS,E
2017,10.00,10.00,5.71,10.00,0.00,0.00,0.00,,0.00,0.00,0.50,0.00,0.00,0.58,TR,E
2017,10.00,10.00,10.00,10.00,10.00,10.00,8.00,,9.80,10.00,10.00,7.00,4.00,8.03,MS,E
2017,4.29,1.29,0.00,2.86,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.12,SR-35,E
2017,10.00,10.00,10.00,5.71,10.00,10.00,7.40,,6.40,10.00,10.00,10.00,9.00,9.30,SS,E
2017,10.00,10.00,8.57,10.00,10.00,10.00,7.70,,9.70,7.00,10.00,6.00,0.00,6.10,MM,E
2017,10.00,7.14,0.00,2.86,10.00,0.00,8.00,,6.40,1.00,1.00,2.00,1.00,2.14,II-3,E
2017,10.00,10.00,10.00,8.57,10.00,9.86,2.90,,10.00,10.00,10.00,9.00,10.00,9.72,SS,E
2017,10.00,10.00,10.00,10.00,10.00,10.00,7.70,,9.70,10.00,10.00,10.00,7.50,9.34,SS,E
2017,10.00,5.71,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.22,SR-30,E
2017,10.00,10.00,10.00,10.00,10.00,10.00,2.00,,9.70,10.00,10.00,9.00,3.00,8.02,MS,E
2017,10.00,10.00,7.43,1.43,1.43,0.00,0.00,,10.00,10.00,0.00,4.00,0.00,4.67,MM,E
2017,10.00,10.00,5.86,8.57,2.43,0.00,0.00,,5.80,7.50,10.00,2.00,0.00,4.78,MM,E
2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,F
2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,F
2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,F
2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2016,4.29,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.06,SR-55,F
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2017,10.00,10.00,10.00,7.14,7.14,7.14,2.70,0.00,9.20,3.33,0.00,2.00,8.60,4.85,MM,F
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,F
