year,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,exam1,exam2,texam,finalscore,presence,finalgrade,class
2013,10.00,10.00,10.00,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.45,TR,J
2013,10.00,10.00,4.29,10.00,9.86,0.00,8.00,,10.00,0.00,10.00,7.00,2.00,4.75,MM,J
2013,10.00,10.00,7.14,1.43,4.29,9.86,6.30,,6.70,7.50,10.00,10.00,3.00,7.04,MS,J
2014,10.00,10.00,10.00,10.00,9.86,10.00,7.60,,9.90,10.00,10.00,0.00,0.00,5.95,MM,J
2014,10.00,10.00,10.00,10.00,9.86,10.00,5.90,8.00,0.00,10.00,10.00,10.00,10.00,8.92,SS,J
2014,6.71,7.14,3.71,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.27,SR-50,J
2014,10.00,10.00,8.29,9.57,9.14,9.71,4.20,9.00,6.30,10.00,10.00,10.00,10.00,9.50,SS,J
2014,5.71,7.00,5.71,0.00,5.71,4.29,5.60,,8.40,10.00,10.00,10.00,3.00,7.65,MS,J
2015,10.00,8.57,8.57,10.00,9.86,9.43,7.60,,9.30,10.00,10.00,10.00,10.00,9.84,SS,J
2015,7.14,5.29,1.43,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.20,TR,J
2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,J
2015,10.00,1.43,2.71,1.43,0.00,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,II-24,J
2016,5.29,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.08,TR,J
2016,10.00,5.71,1.43,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.24,TR,J
2016,2.86,2.86,0.00,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.10,II-21,J
2017,7.14,0.00,0.00,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.12,TR,J
2012,10.00,10.00,7.14,0.00,4.57,9.86,6.30,,10.00,0.00,0.00,0.00,0.00,1.68,II-7,J
2016,10.00,10.00,10.00,10.00,10.00,10.00,10.00,3.00,9.90,4.50,10.00,10.00,10.00,8.47,SS,J
2016,10.00,10.00,10.00,10.00,4.29,0.00,9.00,,10.00,10.00,8.00,10.00,0.00,7.08,MS,K
2016,10.00,10.00,5.71,8.57,0.00,6.29,4.00,,6.00,10.00,10.00,10.00,10.00,9.24,SS,K
2016,8.57,10.00,10.00,10.00,1.43,1.43,0.00,,9.10,4.00,10.00,10.00,0.00,5.54,MM,K
2016,10.00,10.00,10.00,10.00,9.86,2.86,6.80,,9.80,8.50,10.00,9.00,2.00,7.36,MS,K
2016,10.00,10.00,10.00,10.00,10.00,9.14,6.00,5.00,10.00,6.66,5.00,10.00,2.00,6.39,MM,K
2016,10.00,10.00,10.00,10.00,10.00,9.14,0.00,,9.70,10.00,10.00,10.00,0.00,7.41,MS,K
2016,10.00,10.00,10.00,10.00,8.57,0.00,0.00,,10.00,10.00,10.00,4.00,0.00,6.33,MS,K
2017,10.00,10.00,10.00,10.00,10.00,9.71,10.00,,10.00,0.00,10.00,0.00,9.00,5.56,MM,K
2017,10.00,10.00,10.00,10.00,10.00,0.00,10.00,,9.70,0.00,0.00,0.00,0.00,1.83,II-7,K
2017,10.00,10.00,5.71,4.29,6.29,0.00,1.00,,6.70,8.50,10.00,10.00,9.00,8.57,SS,K
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,10.00,10.00,10.00,10.00,10.00,9.94,SS,K
2017,10.00,10.00,10.00,10.00,10.00,9.71,8.90,,6.50,10.00,10.00,0.00,7.00,7.31,MS,K
2017,10.00,10.00,10.00,7.14,6.57,4.29,8.90,,9.90,0.00,10.00,3.50,10.00,6.16,MM,K
2017,10.00,7.43,10.00,5.71,1.43,5.57,3.00,,3.00,10.00,10.00,4.00,0.00,5.56,MM,K
2017,10.00,10.00,10.00,10.00,10.00,2.71,7.00,,6.20,10.00,10.00,6.00,5.00,7.63,MS,K
2017,10.00,10.00,1.43,8.57,10.00,5.71,5.00,,10.00,10.00,10.00,3.00,4.00,7.16,MS,K
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,SS,K
2017,10.00,10.00,10.00,8.57,9.43,10.00,4.00,,6.50,10.00,10.00,10.00,10.00,9.54,SS,K
2017,10.00,7.14,10.00,10.00,7.00,4.29,1.00,,3.30,1.50,7.50,0.00,0.00,2.48,MI-10,K
2017,10.00,10.00,10.00,8.57,5.71,6.86,6.80,,9.80,10.00,10.00,10.00,10.00,9.81,SS,K
2017,10.00,7.43,10.00,10.00,8.43,7.14,9.00,,9.90,3.34,6.50,4.00,2.00,4.77,MM,K
2017,10.00,10.00,10.00,8.57,10.00,0.00,0.00,,9.80,0.00,3.50,0.00,0.00,2.16,II-10,K
2017,10.00,10.00,2.71,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.32,SR-50,K
2017,10.00,10.00,4.29,6.00,4.29,2.86,0.80,5.00,9.70,10.00,10.00,10.00,9.00,9.27,SS,K
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,9.90,10.00,10.00,2.00,8.00,8.17,MS,K
2017,10.00,5.14,8.43,10.00,10.00,7.14,5.10,,9.60,1.00,7.50,0.00,3.00,3.79,MI-10,K
2017,10.00,10.00,10.00,9.86,10.00,0.00,6.90,,9.80,10.00,10.00,2.00,0.00,6.11,MM,K
2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,L
2014,5.71,0.00,1.43,0.00,0.00,0.00,0.00,,,0.00,6.00,0.00,0.00,0.94,TR,L
2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,L
2014,10.00,3.57,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.19,TR,L
2014,8.57,3.86,4.29,5.71,0.00,7.86,1.50,,1.00,10.00,9.50,10.00,0.00,6.08,MM,L
2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR,L
2016,10.00,10.00,8.57,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.43,TR,L
2016,10.00,10.00,10.00,0.00,10.00,10.00,10.00,,3.30,2.50,10.00,10.00,5.00,6.04,MM,L
2016,10.00,10.00,10.00,10.00,0.00,10.00,10.00,3.00,9.70,10.00,10.00,0.00,2.00,6.24,MM,L
2016,10.00,10.00,8.57,1.43,0.00,10.00,10.00,5.00,6.30,0.00,2.50,8.00,10.00,5.35,MM,L
2016,10.00,10.00,10.00,10.00,8.57,5.71,7.50,5.00,10.00,9.00,9.50,10.00,0.00,7.10,MS,L
2016,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,9.90,10.00,10.00,9.00,0.00,7.41,MS,L
2016,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,9.80,7.17,9.75,10.00,1.00,7.02,MS,L
2016,10.00,10.00,10.00,10.00,0.00,10.00,10.00,,,0.00,0.00,0.00,1.00,1.10,II-5,L
2016,10.00,10.00,10.00,10.00,8.57,4.29,6.90,,10.00,7.00,10.00,9.00,9.00,8.67,SS,L
2016,10.00,9.86,10.00,10.00,10.00,10.00,10.00,3.00,10.00,5.55,10.00,10.00,0.00,6.35,MM,L
2016,10.00,7.00,8.00,0.00,5.14,6.86,0.00,,3.10,10.00,10.00,0.00,0.00,4.84,MM,L
2016,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,9.50,10.00,10.00,10.00,9.00,9.69,SS,L
2016,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,10.00,5.00,10.00,10.00,9.00,8.46,SS,L
2016,4.29,0.00,0.00,0.00,9.57,0.00,0.00,,9.70,10.00,10.00,3.00,0.00,5.65,MM,L
2016,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,9.50,0.00,9.05,10.00,6.00,6.26,MM,L
2016,10.00,10.00,10.00,10.00,9.86,5.71,7.50,3.00,9.80,10.00,10.00,10.00,9.50,9.69,SS,L
2016,10.00,10.00,10.00,10.00,8.57,5.71,7.50,3.00,9.80,9.57,10.00,9.00,9.00,9.28,SS,L
2017,10.00,10.00,0.00,0.00,0.00,0.00,0.00,,,0.00,7.50,0.00,0.00,1.34,TR,L
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-80,L
2017,10.00,10.00,10.00,2.86,10.00,8.71,6.40,,9.20,10.00,10.00,10.00,9.00,9.51,SS,L
2011,0.00,0.00,0.00,7.14,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.10,SR-50,M
2012,10.00,10.00,7.14,5.71,1.00,4.29,0.00,3.00,5.40,10.00,10.00,0.00,0.00,5.05,MM,M
2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR,M
2014,7.14,5.57,2.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.21,TR,M
2014,10.00,10.00,10.00,0.00,8.57,5.43,1.00,3.00,3.00,0.00,10.00,0.00,3.00,3.02,MI-20,M
2015,10.00,8.57,7.14,9.57,4.57,5.43,5.10,,9.80,10.00,10.00,7.00,10.00,9.22,SS,M
2015,10.00,7.14,4.14,8.29,0.00,0.00,1.00,,6.30,9.75,10.00,0.00,4.00,5.96,MM,M
2015,10.00,7.00,10.00,1.43,3.86,10.00,0.00,,10.00,5.60,4.50,10.00,2.00,5.77,MM,M
2015,5.71,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.08,SR,M
2015,0.00,10.00,10.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.29,TR,M
2015,10.00,10.00,10.00,9.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.56,TR,M
2016,10.00,10.00,10.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.43,SR-45,M
2016,10.00,10.00,10.00,8.57,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.55,TR,M
2016,10.00,10.00,8.57,2.86,0.00,10.00,10.00,,9.90,0.00,0.50,9.00,9.00,5.39,MM,M
2016,10.00,8.43,8.57,7.00,4.29,3.86,4.90,5.00,9.40,9.93,10.00,10.00,0.00,7.17,MS,M
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,M
2016,10.00,8.43,7.14,4.29,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.43,II-23,M
2016,10.00,10.00,10.00,10.00,8.57,10.00,10.00,,9.90,9.45,10.00,0.00,10.00,8.23,MS,M
2016,1.43,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.02,TR,M
2016,10.00,10.00,8.57,10.00,7.14,10.00,10.00,,9.90,10.00,10.00,10.00,2.00,8.01,MS,M
2016,10.00,10.00,5.71,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.39,TR,M
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR,M
2016,7.14,9.57,4.29,2.86,0.00,6.29,7.50,,10.00,7.26,0.00,0.00,9.00,5.59,MM,M
2017,10.00,10.00,10.00,0.00,9.86,0.00,0.00,,3.30,0.00,10.00,0.00,0.00,2.30,II-15,M
2015,10.00,10.00,5.71,10.00,5.71,10.00,10.00,,3.30,0.00,0.00,2.00,0.00,1.53,II-15,M
2012,10.00,10.00,9.29,7.14,9.57,4.29,2.30,,,10.00,10.00,7.00,5.00,7.07,MS,N
2012,4.29,4.29,0.00,2.86,0.00,0.14,2.00,,,0.00,0.00,0.00,0.00,0.19,SR-27,N
2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,N
2014,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.14,TR,N
2015,10.00,2.86,0.00,9.00,0.00,0.00,0.00,,2.60,0.00,0.00,0.00,0.00,0.57,II-24,N
2015,10.00,10.00,10.00,2.86,7.14,7.14,0.00,,9.80,10.00,10.00,0.00,0.00,5.65,MM,N
2015,10.00,10.00,1.43,10.00,10.00,5.29,4.50,,0.00,10.00,10.00,10.00,10.00,8.73,SS,N
2016,7.43,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.11,TR,N
2016,10.00,10.00,10.00,9.57,10.00,8.43,9.00,3.00,9.90,10.00,10.00,10.00,10.00,9.87,SS,N
2016,10.00,10.00,5.71,10.00,8.57,10.00,10.00,,9.60,0.00,9.50,9.00,4.00,5.61,MM,N
2016,10.00,10.00,8.57,2.86,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.45,TR,N
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,N
2016,5.86,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,10.00,0.00,0.00,1.48,SR-55,N
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,N
2016,5.71,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.08,TR,N
2016,8.57,7.14,0.00,3.14,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.27,TR,N
2017,5.71,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.08,TR,N
2017,7.14,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.10,SR-35,N
2017,10.00,8.00,4.43,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.32,TR,N
2017,10.00,8.29,5.71,8.14,9.57,1.29,3.50,,3.30,10.00,10.00,10.00,10.00,8.99,SS,N
2017,4.29,7.14,0.00,0.00,9.86,0.00,0.00,,,0.00,0.00,0.00,0.00,0.30,II-24,N
2017,7.14,0.57,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.11,SR-70,N
2017,10.00,10.00,5.14,8.57,10.00,3.14,3.00,,8.60,10.00,10.00,10.00,7.00,8.85,SS,N
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,SS,N
2017,10.00,10.00,3.00,1.43,10.00,5.43,2.00,,6.70,7.00,10.00,10.00,9.00,8.25,MS,N
2016,10.00,10.00,10.00,10.00,9.86,4.29,2.00,,9.70,3.50,10.00,10.00,6.00,7.12,MS,N
